#x	y	new0_fix	12_	12a	12b
0.0178175	0.426	163.469	154.583	153.833	155.645
0.0178175	0.4345	127.762	120.649	120.084	121.475
0.0178175	0.443	98.8562	93.136	92.7077	93.7594
0.0178175	0.4515	76.4464	71.8059	71.4791	72.3004
0.0178175	0.46	59.8667	56.0944	55.8317	56.533
0.0178175	0.4685	48.1999	45.1484	44.9401	45.4911
0.0178175	0.477	40.4281	37.9221	37.8218	38.2054
0.0178175	0.4855	35.2801	33.2725	33.1314	33.4823
0.0178175	0.494	31.758	30.0689	29.9439	30.2654
0.0178175	0.5025	29.0382	27.584	27.4767	27.7426
0.0178175	0.511	26.5589	25.2799	25.2064	25.4068
0.0178175	0.5195	24.1579	23.0243	22.9544	23.1399
0.0178175	0.528	22.1476	21.1037	21.039	21.2118
0.0178175	0.5365	21.1454	20.1504	20.1007	20.2676
0.0178175	0.545	21.9995	21.0604	20.996	21.167
0.0178175	0.5535	25.8301	24.8529	24.7874	24.9471
0.0178175	0.562	34.0855	32.6653	32.4712	33.0272
0.0178175	0.5705	46.3954	45.0648	44.9687	45.1955
0.0178175	0.579	64.7251	62.9782	62.8134	63.194
0.0184709	0.426	151.661	143.485	142.79	144.465
0.0184709	0.4345	117.187	109.951	109.432	110.706
0.0184709	0.443	87.9934	82.832	82.4487	83.419
0.0184709	0.4515	65.99	61.8841	61.5914	62.3431
0.0184709	0.46	49.7947	46.5469	46.3227	46.9094
0.0184709	0.4685	38.5615	35.9594	35.7805	36.2535
0.0184709	0.477	31.1617	29.1206	28.9756	29.343
0.0184709	0.4855	26.3861	24.7479	24.6335	24.9381
0.0184709	0.494	23.3021	21.9425	21.8446	22.0966
0.0184709	0.5025	20.9704	19.8497	19.7796	19.9611
0.0184709	0.511	18.8427	17.9222	17.8618	18.0197
0.0184709	0.5195	16.8165	16.0305	15.977	16.1191
0.0184709	0.528	15.1318	14.4311	14.3824	14.5123
0.0184709	0.5365	14.4177	13.7532	13.7072	13.8225
0.0184709	0.545	15.5171	14.8292	14.794	14.8872
0.0184709	0.5535	19.739	18.7246	18.6816	18.7917
0.0184709	0.562	27.2965	26.6836	26.6512	26.7309
0.0184709	0.5705	39.9839	38.9578	38.8683	39.0789
0.0184709	0.579	58.1328	56.8858	56.7498	57.0486
0.0191243	0.426	141.879	134.345	133.386	135.181
0.0191243	0.4345	109.278	100.889	100.412	101.581
0.0191243	0.443	78.8066	74.1408	73.7924	74.6723
0.0191243	0.4515	57.1197	53.5549	53.2968	53.9596
0.0191243	0.46	41.3076	38.5464	38.3549	38.8567
0.0191243	0.4685	30.4538	28.2901	28.1424	28.5137
0.0191243	0.477	23.3988	21.7577	21.6414	21.9469
0.0191243	0.4855	19.0191	17.7133	17.6208	17.8682
